period,stateid,stateDescription,sectorid,sectorName,customers,price,customers-units,price-units
2024-03,TX,Texas,ALL,all sectors,14220334,9.51,number of customers,cents per kilowatthour
2024-03,MA,Massachusetts,TRA,transportation,2,9.4,number of customers,cents per kilowatthour
2024-03,MA,Massachusetts,RES,residential,2941671,29.66,number of customers,cents per kilowatthour
2024-03,MA,Massachusetts,OTH,other,,,number of customers,cents per kilowatthour
2024-03,MA,Massachusetts,IND,industrial,10192,17.97,number of customers,cents per kilowatthour
2024-03,MA,Massachusetts,COM,commercial,466199,20.78,number of customers,cents per kilowatthour
2024-03,MA,Massachusetts,ALL,all sectors,3418064,24,number of customers,cents per kilowatthour
2024-03,FL,Florida,TRA,transportation,2,12.09,number of customers,cents per kilowatthour
2024-03,FL,Florida,RES,residential,10330697,14.69,number of customers,cents per kilowatthour
2024-03,FL,Florida,OTH,other,,,number of customers,cents per kilowatthour
2024-03,FL,Florida,IND,industrial,26660,8.72,number of customers,cents per kilowatthour
2024-03,FL,Florida,COM,commercial,1290983,11.5,number of customers,cents per kilowatthour
2024-03,FL,Florida,ALL,all sectors,11648342,12.87,number of customers,cents per kilowatthour
2024-03,CO,Colorado,TRA,transportation,1,9.7,number of customers,cents per kilowatthour
2024-03,CO,Colorado,RES,residential,2483856,14.64,number of customers,cents per kilowatthour
2024-03,CO,Colorado,OTH,other,,,number of customers,cents per kilowatthour
2024-03,CO,Colorado,IND,industrial,14872,8.38,number of customers,cents per kilowatthour
2024-03,CO,Colorado,COM,commercial,397196,11.08,number of customers,cents per kilowatthour
2024-03,CO,Colorado,ALL,all sectors,2895925,11.51,number of customers,cents per kilowatthour
2024-03,CA,California,TRA,transportation,12,15.2,number of customers,cents per kilowatthour
2024-03,CA,California,RES,residential,14111959,32.47,number of customers,cents per kilowatthour
2024-03,CA,California,OTH,other,,,number of customers,cents per kilowatthour
2024-03,CA,California,IND,industrial,146529,18.96,number of customers,cents per kilowatthour
2024-03,CA,California,COM,commercial,1770149,23.7,number of customers,cents per kilowatthour
2024-03,CA,California,ALL,all sectors,16028649,25.81,number of customers,cents per kilowatthour
2024-03,OH,Ohio,TRA,transportation,2,7.05,number of customers,cents per kilowatthour
2024-03,OH,Ohio,RES,residential,5107389,16.28,number of customers,cents per kilowatthour
2024-03,OH,Ohio,OTH,other,,,number of customers,cents per kilowatthour
2024-03,OH,Ohio,IND,industrial,18476,7.12,number of customers,cents per kilowatthour
2024-03,OH,Ohio,COM,commercial,626418,11.33,number of customers,cents per kilowatthour
2024-03,OH,Ohio,ALL,all sectors,5752285,11.36,number of customers,cents per kilowatthour
2024-03,NY,New York,TRA,transportation,8,14.5,number of customers,cents per kilowatthour
2024-03,NY,New York,RES,residential,7398804,23.64,number of customers,cents per kilowatthour
2024-03,NY,New York,OTH,other,,,number of customers,cents per kilowatthour
2024-03,NY,New York,IND,industrial,16759,8.01,number of customers,cents per kilowatthour
2024-03,NY,New York,COM,commercial,1160415,17.46,number of customers,cents per kilowatthour
2024-03,NY,New York,ALL,all sectors,8575986,18.42,number of customers,cents per kilowatthour
2024-03,MN,Minnesota,TRA,transportation,1,11.91,number of customers,cents per kilowatthour
2024-03,MN,Minnesota,RES,residential,2591853,14.69,number of customers,cents per kilowatthour
2024-03,MN,Minnesota,OTH,other,,,number of customers,cents per kilowatthour
2024-03,MN,Minnesota,IND,industrial,9075,8.96,number of customers,cents per kilowatthour
2024-03,MN,Minnesota,COM,commercial,307539,11.83,number of customers,cents per kilowatthour
2024-03,MN,Minnesota,ALL,all sectors,2908468,11.92,number of customers,cents per kilowatthour
2024-03,WA,Washington,TRA,transportation,5,11.3,number of customers,cents per kilowatthour
2024-03,WA,Washington,RES,residential,3349440,11.72,number of customers,cents per kilowatthour
2024-03,WA,Washington,OTH,other,,,number of customers,cents per kilowatthour
2024-03,WA,Washington,IND,industrial,26135,6.21,number of customers,cents per kilowatthour
2024-03,WA,Washington,COM,commercial,408765,10.63,number of customers,cents per kilowatthour
2024-03,WA,Washington,ALL,all sectors,3784345,10.16,number of customers,cents per kilowatthour
2024-03,TX,Texas,TRA,transportation,2,4.18,number of customers,cents per kilowatthour
2024-03,TX,Texas,RES,residential,12276977,14.92,number of customers,cents per kilowatthour
2024-03,TX,Texas,OTH,other,,,number of customers,cents per kilowatthour
2024-03,TX,Texas,IND,industrial,361039,5.72,number of customers,cents per kilowatthour
2024-03,TX,Texas,COM,commercial,1582316,8.78,number of customers,cents per kilowatthour
2024-02,CA,California,ALL,all sectors,15711607,25.37,number of customers,cents per kilowatthour
2024-02,OH,Ohio,TRA,transportation,2,6.15,number of customers,cents per kilowatthour
2024-02,OH,Ohio,RES,residential,5105679,15.77,number of customers,cents per kilowatthour
2024-02,OH,Ohio,OTH,other,,,number of customers,cents per kilowatthour
2024-02,OH,Ohio,IND,industrial,18860,7.07,number of customers,cents per kilowatthour
2024-02,OH,Ohio,COM,commercial,625635,11.2,number of customers,cents per kilowatthour
2024-02,OH,Ohio,ALL,all sectors,5750176,11.46,number of customers,cents per kilowatthour
2024-02,NY,New York,TRA,transportation,8,15.29,number of customers,cents per kilowatthour
2024-02,NY,New York,RES,residential,7395650,24.23,number of customers,cents per kilowatthour
2024-02,NY,New York,OTH,other,,,number of customers,cents per kilowatthour
2024-02,NY,New York,IND,industrial,6981,7.26,number of customers,cents per kilowatthour
2024-02,NY,New York,COM,commercial,1171187,18.58,number of customers,cents per kilowatthour
2024-02,NY,New York,ALL,all sectors,8573826,19.37,number of customers,cents per kilowatthour
2024-02,MN,Minnesota,TRA,transportation,1,12.08,number of customers,cents per kilowatthour
2024-02,MN,Minnesota,RES,residential,2585677,14.36,number of customers,cents per kilowatthour
2024-02,MN,Minnesota,OTH,other,,,number of customers,cents per kilowatthour
2024-02,MN,Minnesota,IND,industrial,9074,8.94,number of customers,cents per kilowatthour
2024-02,MN,Minnesota,COM,commercial,306993,11.68,number of customers,cents per kilowatthour
2024-02,MN,Minnesota,ALL,all sectors,2901745,11.82,number of customers,cents per kilowatthour
2024-02,MA,Massachusetts,TRA,transportation,2,9.54,number of customers,cents per kilowatthour
2024-02,MA,Massachusetts,RES,residential,2943223,29.25,number of customers,cents per kilowatthour
2024-02,MA,Massachusetts,OTH,other,,,number of customers,cents per kilowatthour
2024-02,MA,Massachusetts,IND,industrial,10576,17.99,number of customers,cents per kilowatthour
2024-02,MA,Massachusetts,COM,commercial,462335,21.37,number of customers,cents per kilowatthour
2024-02,MA,Massachusetts,ALL,all sectors,3416136,24.23,number of customers,cents per kilowatthour
2024-02,WA,Washington,TRA,transportation,5,11.39,number of customers,cents per kilowatthour
2024-02,WA,Washington,RES,residential,3331632,11.4,number of customers,cents per kilowatthour
2024-02,WA,Washington,OTH,other,,,number of customers,cents per kilowatthour
2024-02,WA,Washington,IND,industrial,26145,6.51,number of customers,cents per kilowatthour
2024-02,WA,Washington,COM,commercial,406201,10.74,number of customers,cents per kilowatthour
2024-02,WA,Washington,ALL,all sectors,3763983,10.15,number of customers,cents per kilowatthour
2024-02,TX,Texas,TRA,transportation,2,4.57,number of customers,cents per kilowatthour
2024-02,TX,Texas,RES,residential,12253213,14.31,number of customers,cents per kilowatthour
2024-02,TX,Texas,OTH,other,,,number of customers,cents per kilowatthour
2024-02,TX,Texas,IND,industrial,353892,5.97,number of customers,cents per kilowatthour
2024-02,TX,Texas,COM,commercial,1586223,8.67,number of customers,cents per kilowatthour
2024-02,TX,Texas,ALL,all sectors,14193330,9.68,number of customers,cents per kilowatthour
2024-02,FL,Florida,TRA,transportation,2,11.74,number of customers,cents per kilowatthour
2024-02,FL,Florida,RES,residential,10312653,15.28,number of customers,cents per kilowatthour
2024-02,FL,Florida,OTH,other,,,number of customers,cents per kilowatthour
2024-02,FL,Florida,IND,industrial,26721,9.32,number of customers,cents per kilowatthour
2024-02,FL,Florida,COM,commercial,1290143,12.17,number of customers,cents per kilowatthour
2024-02,FL,Florida,ALL,all sectors,11629519,13.57,number of customers,cents per kilowatthour
2024-02,CO,Colorado,TRA,transportation,1,9.82,number of customers,cents per kilowatthour
2024-02,CO,Colorado,RES,residential,2481044,14.47,number of customers,cents per kilowatthour
2024-02,CO,Colorado,OTH,other,,,number of customers,cents per kilowatthour
2024-02,CO,Colorado,IND,industrial,14855,8.75,number of customers,cents per kilowatthour
2024-02,CO,Colorado,COM,commercial,396156,11.02,number of customers,cents per kilowatthour
2024-02,CO,Colorado,ALL,all sectors,2892056,11.68,number of customers,cents per kilowatthour
2024-02,CA,California,TRA,transportation,12,16.18,number of customers,cents per kilowatthour
2024-02,CA,California,RES,residential,13830560,31.23,number of customers,cents per kilowatthour
2024-02,CA,California,OTH,other,,,number of customers,cents per kilowatthour
2024-02,CA,California,IND,industrial,141130,18.07,number of customers,cents per kilowatthour
2024-02,CA,California,COM,commercial,1739905,23.61,number of customers,cents per kilowatthour
2024-01,MA,Massachusetts,ALL,all sectors,3350221,23.88,number of customers,cents per kilowatthour
2024-01,WA,Washington,TRA,transportation,5,10.52,number of customers,cents per kilowatthour
2024-01,WA,Washington,RES,residential,3354902,11.09,number of customers,cents per kilowatthour
2024-01,WA,Washington,OTH,other,,,number of customers,cents per kilowatthour
2024-01,WA,Washington,IND,industrial,26541,6.58,number of customers,cents per kilowatthour
2024-01,WA,Washington,COM,commercial,409575,10.52,number of customers,cents per kilowatthour
2024-01,WA,Washington,ALL,all sectors,3791023,10.06,number of customers,cents per kilowatthour
2024-01,TX,Texas,TRA,transportation,3,6.98,number of customers,cents per kilowatthour
2024-01,TX,Texas,RES,residential,12232646,14.25,number of customers,cents per kilowatthour
2024-01,TX,Texas,OTH,other,,,number of customers,cents per kilowatthour
2024-01,TX,Texas,IND,industrial,351366,6.44,number of customers,cents per kilowatthour
2024-01,TX,Texas,COM,commercial,1568046,9.02,number of customers,cents per kilowatthour
2024-01,TX,Texas,ALL,all sectors,14152061,10.17,number of customers,cents per kilowatthour
2024-01,CO,Colorado,TRA,transportation,1,9.99,number of customers,cents per kilowatthour
2024-01,CO,Colorado,RES,residential,2477122,14.26,number of customers,cents per kilowatthour
2024-01,CO,Colorado,OTH,other,,,number of customers,cents per kilowatthour
2024-01,CO,Colorado,IND,industrial,14716,8.28,number of customers,cents per kilowatthour
2024-01,CO,Colorado,COM,commercial,395013,10.84,number of customers,cents per kilowatthour
2024-01,CO,Colorado,ALL,all sectors,2886852,11.46,number of customers,cents per kilowatthour
2024-01,CA,California,TRA,transportation,12,17.06,number of customers,cents per kilowatthour
2024-01,CA,California,RES,residential,14275640,29.49,number of customers,cents per kilowatthour
2024-01,CA,California,OTH,other,,,number of customers,cents per kilowatthour
2024-01,CA,California,IND,industrial,150477,17.95,number of customers,cents per kilowatthour
2024-01,CA,California,COM,commercial,1796854,22.93,number of customers,cents per kilowatthour
2024-01,CA,California,ALL,all sectors,16222983,24.61,number of customers,cents per kilowatthour
2024-01,FL,Florida,TRA,transportation,2,11.82,number of customers,cents per kilowatthour
2024-01,FL,Florida,RES,residential,10297616,14.79,number of customers,cents per kilowatthour
2024-01,FL,Florida,OTH,other,,,number of customers,cents per kilowatthour
2024-01,FL,Florida,IND,industrial,26705,9.16,number of customers,cents per kilowatthour
2024-01,FL,Florida,COM,commercial,1289074,11.83,number of customers,cents per kilowatthour
2024-01,FL,Florida,ALL,all sectors,11613397,13.21,number of customers,cents per kilowatthour
2024-01,OH,Ohio,TRA,transportation,2,6.59,number of customers,cents per kilowatthour
2024-01,OH,Ohio,RES,residential,5103884,15.58,number of customers,cents per kilowatthour
2024-01,OH,Ohio,OTH,other,,,number of customers,cents per kilowatthour
2024-01,OH,Ohio,IND,industrial,18972,7.25,number of customers,cents per kilowatthour
2024-01,OH,Ohio,COM,commercial,626760,10.51,number of customers,cents per kilowatthour
2024-01,OH,Ohio,ALL,all sectors,5749618,11.5,number of customers,cents per kilowatthour
2024-01,NY,New York,TRA,transportation,8,14.11,number of customers,cents per kilowatthour
2024-01,NY,New York,RES,residential,7412253,23.44,number of customers,cents per kilowatthour
2024-01,NY,New York,OTH,other,,,number of customers,cents per kilowatthour
2024-01,NY,New York,IND,industrial,7029,7.54,number of customers,cents per kilowatthour
2024-01,NY,New York,COM,commercial,1182331,18.07,number of customers,cents per kilowatthour
2024-01,NY,New York,ALL,all sectors,8601621,18.88,number of customers,cents per kilowatthour
2024-01,MN,Minnesota,TRA,transportation,1,11.31,number of customers,cents per kilowatthour
2024-01,MN,Minnesota,RES,residential,2589845,14.04,number of customers,cents per kilowatthour
2024-01,MN,Minnesota,OTH,other,,,number of customers,cents per kilowatthour
2024-01,MN,Minnesota,IND,industrial,9106,9.13,number of customers,cents per kilowatthour
2024-01,MN,Minnesota,COM,commercial,307787,11.51,number of customers,cents per kilowatthour
2024-01,MN,Minnesota,ALL,all sectors,2906739,11.85,number of customers,cents per kilowatthour
2024-01,MA,Massachusetts,TRA,transportation,2,9.83,number of customers,cents per kilowatthour
2024-01,MA,Massachusetts,RES,residential,2889821,28.34,number of customers,cents per kilowatthour
2024-01,MA,Massachusetts,OTH,other,,,number of customers,cents per kilowatthour
2024-01,MA,Massachusetts,IND,industrial,10690,18.53,number of customers,cents per kilowatthour
2024-01,MA,Massachusetts,COM,commercial,449708,21.32,number of customers,cents per kilowatthour
2023-12,WA,Washington,ALL,all sectors,3765268,9.7,number of customers,cents per kilowatthour
2023-12,FL,Florida,TRA,transportation,2,11.31,number of customers,cents per kilowatthour
2023-12,FL,Florida,RES,residential,10275386,15.26,number of customers,cents per kilowatthour
2023-12,FL,Florida,OTH,other,,,number of customers,cents per kilowatthour
2023-12,FL,Florida,IND,industrial,26899,9.23,number of customers,cents per kilowatthour
2023-12,FL,Florida,COM,commercial,1286919,11.9,number of customers,cents per kilowatthour
2023-12,FL,Florida,ALL,all sectors,11589206,13.39,number of customers,cents per kilowatthour
2023-12,CO,Colorado,TRA,transportation,1,9.57,number of customers,cents per kilowatthour
2023-12,CO,Colorado,RES,residential,2472310,14.15,number of customers,cents per kilowatthour
2023-12,CO,Colorado,OTH,other,,,number of customers,cents per kilowatthour
2023-12,CO,Colorado,IND,industrial,14778,8.21,number of customers,cents per kilowatthour
2023-12,CO,Colorado,COM,commercial,394062,10.9,number of customers,cents per kilowatthour
2023-12,CO,Colorado,ALL,all sectors,2881151,11.36,number of customers,cents per kilowatthour
2023-12,CA,California,TRA,transportation,12,13.08,number of customers,cents per kilowatthour
2023-12,CA,California,RES,residential,14078011,29.11,number of customers,cents per kilowatthour
2023-12,CA,California,OTH,other,,,number of customers,cents per kilowatthour
2023-12,CA,California,IND,industrial,146857,18.19,number of customers,cents per kilowatthour
2023-12,CA,California,COM,commercial,1764476,22.69,number of customers,cents per kilowatthour
2023-12,CA,California,ALL,all sectors,15989356,24.16,number of customers,cents per kilowatthour
2023-12,TX,Texas,TRA,transportation,3,9.31,number of customers,cents per kilowatthour
2023-12,TX,Texas,RES,residential,12145036,14.58,number of customers,cents per kilowatthour
2023-12,TX,Texas,OTH,other,,,number of customers,cents per kilowatthour
2023-12,TX,Texas,IND,industrial,353952,5.86,number of customers,cents per kilowatthour
2023-12,TX,Texas,COM,commercial,1565734,8.85,number of customers,cents per kilowatthour
2023-12,TX,Texas,ALL,all sectors,14064725,9.49,number of customers,cents per kilowatthour
2023-12,OH,Ohio,TRA,transportation,2,6.85,number of customers,cents per kilowatthour
2023-12,OH,Ohio,RES,residential,5096595,15.69,number of customers,cents per kilowatthour
2023-12,OH,Ohio,OTH,other,,,number of customers,cents per kilowatthour
2023-12,OH,Ohio,IND,industrial,18891,6.96,number of customers,cents per kilowatthour
2023-12,OH,Ohio,COM,commercial,625028,10.53,number of customers,cents per kilowatthour
2023-12,OH,Ohio,ALL,all sectors,5740516,11.17,number of customers,cents per kilowatthour
2023-12,NY,New York,TRA,transportation,8,14.38,number of customers,cents per kilowatthour
2023-12,NY,New York,RES,residential,7389182,22.52,number of customers,cents per kilowatthour
2023-12,NY,New York,OTH,other,,,number of customers,cents per kilowatthour
2023-12,NY,New York,IND,industrial,7029,6.53,number of customers,cents per kilowatthour
2023-12,NY,New York,COM,commercial,1179843,16.66,number of customers,cents per kilowatthour
2023-12,NY,New York,ALL,all sectors,8576062,17.79,number of customers,cents per kilowatthour
2023-12,MN,Minnesota,TRA,transportation,1,10.53,number of customers,cents per kilowatthour
2023-12,MN,Minnesota,RES,residential,2583172,13.94,number of customers,cents per kilowatthour
2023-12,MN,Minnesota,OTH,other,,,number of customers,cents per kilowatthour
2023-12,MN,Minnesota,IND,industrial,9401,8.43,number of customers,cents per kilowatthour
2023-12,MN,Minnesota,COM,commercial,307106,11.42,number of customers,cents per kilowatthour
2023-12,MN,Minnesota,ALL,all sectors,2899680,11.43,number of customers,cents per kilowatthour
2023-12,MA,Massachusetts,TRA,transportation,2,6.94,number of customers,cents per kilowatthour
2023-12,MA,Massachusetts,RES,residential,2880163,28.85,number of customers,cents per kilowatthour
2023-12,MA,Massachusetts,OTH,other,,,number of customers,cents per kilowatthour
2023-12,MA,Massachusetts,IND,industrial,10516,17.5,number of customers,cents per kilowatthour
2023-12,MA,Massachusetts,COM,commercial,451037,19.74,number of customers,cents per kilowatthour
2023-12,MA,Massachusetts,ALL,all sectors,3341718,23.07,number of customers,cents per kilowatthour
2023-12,WA,Washington,TRA,transportation,5,10.26,number of customers,cents per kilowatthour
2023-12,WA,Washington,RES,residential,3331698,11,number of customers,cents per kilowatthour
2023-12,WA,Washington,OTH,other,,,number of customers,cents per kilowatthour
2023-12,WA,Washington,IND,industrial,27187,6.11,number of customers,cents per kilowatthour
2023-12,WA,Washington,COM,commercial,406378,10.14,number of customers,cents per kilowatthour
2023-11,CA,California,ALL,all sectors,15673653,24.37,number of customers,cents per kilowatthour
2023-11,OH,Ohio,TRA,transportation,2,7.32,number of customers,cents per kilowatthour
2023-11,OH,Ohio,RES,residential,5093360,15.76,number of customers,cents per kilowatthour
2023-11,OH,Ohio,OTH,other,,,number of customers,cents per kilowatthour
2023-11,OH,Ohio,IND,industrial,19016,6.96,number of customers,cents per kilowatthour
2023-11,OH,Ohio,COM,commercial,625761,11.12,number of customers,cents per kilowatthour
2023-11,OH,Ohio,ALL,all sectors,5738139,11.1,number of customers,cents per kilowatthour
2023-11,NY,New York,TRA,transportation,8,15.78,number of customers,cents per kilowatthour
2023-11,NY,New York,RES,residential,7398579,22.95,number of customers,cents per kilowatthour
2023-11,NY,New York,OTH,other,,,number of customers,cents per kilowatthour
2023-11,NY,New York,IND,industrial,7045,6.86,number of customers,cents per kilowatthour
2023-11,NY,New York,COM,commercial,1168190,18.19,number of customers,cents per kilowatthour
2023-11,NY,New York,ALL,all sectors,8573822,18.34,number of customers,cents per kilowatthour
2023-11,MN,Minnesota,TRA,transportation,1,12.34,number of customers,cents per kilowatthour
2023-11,MN,Minnesota,RES,residential,2579271,14.36,number of customers,cents per kilowatthour
2023-11,MN,Minnesota,OTH,other,,,number of customers,cents per kilowatthour
2023-11,MN,Minnesota,IND,industrial,9037,8.61,number of customers,cents per kilowatthour
2023-11,MN,Minnesota,COM,commercial,306954,11.83,number of customers,cents per kilowatthour
2023-11,MN,Minnesota,ALL,all sectors,2895263,11.61,number of customers,cents per kilowatthour
2023-11,MA,Massachusetts,TRA,transportation,2,6.6,number of customers,cents per kilowatthour
2023-11,MA,Massachusetts,RES,residential,2890987,28.31,number of customers,cents per kilowatthour
2023-11,MA,Massachusetts,OTH,other,,,number of customers,cents per kilowatthour
2023-11,MA,Massachusetts,IND,industrial,10736,17.57,number of customers,cents per kilowatthour
2023-11,MA,Massachusetts,COM,commercial,449691,19.33,number of customers,cents per kilowatthour
2023-11,WA,Washington,TRA,transportation,5,10.19,number of customers,cents per kilowatthour
2023-11,WA,Washington,RES,residential,3319300,11.08,number of customers,cents per kilowatthour
2023-11,WA,Washington,OTH,other,,,number of customers,cents per kilowatthour
2023-11,WA,Washington,IND,industrial,25942,6.27,number of customers,cents per kilowatthour
2023-11,WA,Washington,COM,commercial,406074,10.27,number of customers,cents per kilowatthour
2023-11,WA,Washington,ALL,all sectors,3751321,9.71,number of customers,cents per kilowatthour
2023-11,TX,Texas,TRA,transportation,3,7.9,number of customers,cents per kilowatthour
2023-11,TX,Texas,RES,residential,12147656,14.6,number of customers,cents per kilowatthour
2023-11,TX,Texas,OTH,other,,,number of customers,cents per kilowatthour
2023-11,TX,Texas,IND,industrial,352728,6.17,number of customers,cents per kilowatthour
2023-11,TX,Texas,COM,commercial,1584929,8.95,number of customers,cents per kilowatthour
2023-11,TX,Texas,ALL,all sectors,14085316,9.45,number of customers,cents per kilowatthour
2023-11,MA,Massachusetts,ALL,all sectors,3351416,22.33,number of customers,cents per kilowatthour
2023-11,FL,Florida,TRA,transportation,2,11.37,number of customers,cents per kilowatthour
2023-11,FL,Florida,RES,residential,10261425,15.38,number of customers,cents per kilowatthour
2023-11,FL,Florida,OTH,other,,,number of customers,cents per kilowatthour
2023-11,FL,Florida,IND,industrial,26673,9.23,number of customers,cents per kilowatthour
2023-11,FL,Florida,COM,commercial,1287127,11.84,number of customers,cents per kilowatthour
2023-11,FL,Florida,ALL,all sectors,11575227,13.43,number of customers,cents per kilowatthour
2023-11,CO,Colorado,TRA,transportation,1,9.73,number of customers,cents per kilowatthour
2023-11,CO,Colorado,RES,residential,2469419,14.61,number of customers,cents per kilowatthour
2023-11,CO,Colorado,OTH,other,,,number of customers,cents per kilowatthour
2023-11,CO,Colorado,IND,industrial,14789,8.47,number of customers,cents per kilowatthour
2023-11,CO,Colorado,COM,commercial,394184,11.49,number of customers,cents per kilowatthour
2023-11,CO,Colorado,ALL,all sectors,2878393,11.68,number of customers,cents per kilowatthour
2023-11,CA,California,TRA,transportation,12,13.53,number of customers,cents per kilowatthour
2023-11,CA,California,RES,residential,13797722,29.41,number of customers,cents per kilowatthour
2023-11,CA,California,OTH,other,,,number of customers,cents per kilowatthour
2023-11,CA,California,IND,industrial,141311,18.47,number of customers,cents per kilowatthour
2023-11,CA,California,COM,commercial,1734608,23.14,number of customers,cents per kilowatthour
2023-10,WA,Washington,TRA,transportation,5,10.28,number of customers,cents per kilowatthour
2023-10,WA,Washington,RES,residential,3329225,11.34,number of customers,cents per kilowatthour
2023-10,WA,Washington,OTH,other,,,number of customers,cents per kilowatthour
2023-10,WA,Washington,IND,industrial,26807,6.54,number of customers,cents per kilowatthour
2023-10,WA,Washington,COM,commercial,406997,10.34,number of customers,cents per kilowatthour
2023-10,WA,Washington,ALL,all sectors,3763034,9.76,number of customers,cents per kilowatthour
2023-10,TX,Texas,TRA,transportation,3,7.42,number of customers,cents per kilowatthour
2023-10,TX,Texas,RES,residential,12253269,14.69,number of customers,cents per kilowatthour
2023-10,TX,Texas,OTH,other,,,number of customers,cents per kilowatthour
2023-10,TX,Texas,IND,industrial,353288,6.54,number of customers,cents per kilowatthour
2023-10,TX,Texas,COM,commercial,1574252,8.91,number of customers,cents per kilowatthour
2023-10,TX,Texas,ALL,all sectors,14180812,9.81,number of customers,cents per kilowatthour
2023-10,CO,Colorado,TRA,transportation,1,9.8,number of customers,cents per kilowatthour
2023-10,CO,Colorado,RES,residential,2465232,14.54,number of customers,cents per kilowatthour
2023-10,CO,Colorado,OTH,other,,,number of customers,cents per kilowatthour
2023-10,CO,Colorado,IND,industrial,14793,8.42,number of customers,cents per kilowatthour
2023-10,CO,Colorado,COM,commercial,394301,11.5,number of customers,cents per kilowatthour
2023-10,CO,Colorado,ALL,all sectors,2874327,11.57,number of customers,cents per kilowatthour
2023-10,CA,California,TRA,transportation,12,14.9,number of customers,cents per kilowatthour
2023-10,CA,California,RES,residential,14050712,26.73,number of customers,cents per kilowatthour
2023-10,CA,California,OTH,other,,,number of customers,cents per kilowatthour
2023-10,CA,California,IND,industrial,147584,20.33,number of customers,cents per kilowatthour
2023-10,CA,California,COM,commercial,1766478,24.46,number of customers,cents per kilowatthour
2023-10,CA,California,ALL,all sectors,15964786,24.33,number of customers,cents per kilowatthour
2023-10,MN,Minnesota,TRA,transportation,1,12.4,number of customers,cents per kilowatthour
2023-10,MN,Minnesota,RES,residential,2579383,15.29,number of customers,cents per kilowatthour
2023-10,MN,Minnesota,OTH,other,,,number of customers,cents per kilowatthour
2023-10,MN,Minnesota,IND,industrial,9149,9.32,number of customers,cents per kilowatthour
2023-10,MN,Minnesota,COM,commercial,306970,12.33,number of customers,cents per kilowatthour
2023-10,MN,Minnesota,ALL,all sectors,2895503,12.23,number of customers,cents per kilowatthour
2023-10,MA,Massachusetts,TRA,transportation,2,6.65,number of customers,cents per kilowatthour
2023-10,MA,Massachusetts,RES,residential,2892497,28.09,number of customers,cents per kilowatthour
2023-10,MA,Massachusetts,OTH,other,,,number of customers,cents per kilowatthour
2023-10,MA,Massachusetts,IND,industrial,10694,17.44,number of customers,cents per kilowatthour
2023-10,MA,Massachusetts,COM,commercial,448074,19.05,number of customers,cents per kilowatthour
2023-10,MA,Massachusetts,ALL,all sectors,3351267,22.01,number of customers,cents per kilowatthour
2023-10,FL,Florida,TRA,transportation,2,11.44,number of customers,cents per kilowatthour
2023-10,FL,Florida,RES,residential,10247993,15.48,number of customers,cents per kilowatthour
2023-10,FL,Florida,OTH,other,,,number of customers,cents per kilowatthour
2023-10,FL,Florida,IND,industrial,26709,9.29,number of customers,cents per kilowatthour
2023-10,FL,Florida,COM,commercial,1287368,11.82,number of customers,cents per kilowatthour
2023-10,FL,Florida,ALL,all sectors,11562072,13.58,number of customers,cents per kilowatthour
2023-10,OH,Ohio,TRA,transportation,2,7.63,number of customers,cents per kilowatthour
2023-10,OH,Ohio,RES,residential,5087614,16.03,number of customers,cents per kilowatthour
2023-10,OH,Ohio,OTH,other,,,number of customers,cents per kilowatthour
2023-10,OH,Ohio,IND,industrial,19041,7.16,number of customers,cents per kilowatthour
2023-10,OH,Ohio,COM,commercial,625506,11.05,number of customers,cents per kilowatthour
2023-10,OH,Ohio,ALL,all sectors,5732163,11.09,number of customers,cents per kilowatthour
2023-10,NY,New York,TRA,transportation,8,15.26,number of customers,cents per kilowatthour
2023-10,NY,New York,RES,residential,7390536,22.06,number of customers,cents per kilowatthour
2023-10,NY,New York,OTH,other,,,number of customers,cents per kilowatthour
2023-10,NY,New York,IND,industrial,7183,6.67,number of customers,cents per kilowatthour
2023-10,NY,New York,COM,commercial,1182568,18.85,number of customers,cents per kilowatthour
2023-10,NY,New York,ALL,all sectors,8580295,18.52,number of customers,cents per kilowatthour
2023-09,NY,New York,ALL,all sectors,8592508,19.96,number of customers,cents per kilowatthour
2023-09,MN,Minnesota,TRA,transportation,1,12.53,number of customers,cents per kilowatthour
2023-09,MN,Minnesota,RES,residential,2573259,15.29,number of customers,cents per kilowatthour
2023-09,MN,Minnesota,OTH,other,,,number of customers,cents per kilowatthour
2023-09,MN,Minnesota,IND,industrial,9420,9.7,number of customers,cents per kilowatthour
2023-09,MN,Minnesota,COM,commercial,306653,12.94,number of customers,cents per kilowatthour
2023-09,MN,Minnesota,ALL,all sectors,2889333,12.7,number of customers,cents per kilowatthour
2023-09,MA,Massachusetts,TRA,transportation,2,6.79,number of customers,cents per kilowatthour
2023-09,MA,Massachusetts,RES,residential,2863176,28.07,number of customers,cents per kilowatthour
2023-09,MA,Massachusetts,OTH,other,,,number of customers,cents per kilowatthour
2023-09,MA,Massachusetts,IND,industrial,10678,17.45,number of customers,cents per kilowatthour
2023-09,MA,Massachusetts,COM,commercial,443455,18.7,number of customers,cents per kilowatthour
2023-09,MA,Massachusetts,ALL,all sectors,3317311,22.2,number of customers,cents per kilowatthour
2023-09,FL,Florida,TRA,transportation,2,11.69,number of customers,cents per kilowatthour
2023-09,FL,Florida,RES,residential,10230604,15.51,number of customers,cents per kilowatthour
2023-09,FL,Florida,OTH,other,,,number of customers,cents per kilowatthour
