period,stateid,stateDescription,sectorid,sectorName,price,price-units
2018-12,US,U.S. Total,COM,commercial,10.33,cents per kilowatthour
2018-11,US,U.S. Total,ALL,all sectors,10.35,cents per kilowatthour
2018-11,US,U.S. Total,TRA,transportation,9.7,cents per kilowatthour
2018-11,US,U.S. Total,RES,residential,12.9,cents per kilowatthour
2018-11,US,U.S. Total,OTH,other,,cents per kilowatthour
2018-11,US,U.S. Total,IND,industrial,6.85,cents per kilowatthour
2018-11,US,U.S. Total,COM,commercial,10.54,cents per kilowatthour
2018-10,US,U.S. Total,ALL,all sectors,10.41,cents per kilowatthour
2018-10,US,U.S. Total,TRA,transportation,9.79,cents per kilowatthour
2018-10,US,U.S. Total,RES,residential,12.85,cents per kilowatthour
2018-10,US,U.S. Total,OTH,other,,cents per kilowatthour
2018-10,US,U.S. Total,IND,industrial,6.87,cents per kilowatthour
2018-10,US,U.S. Total,COM,commercial,10.77,cents per kilowatthour
2018-09,US,U.S. Total,ALL,all sectors,10.66,cents per kilowatthour
2018-09,US,U.S. Total,TRA,transportation,10.05,cents per kilowatthour
2018-09,US,U.S. Total,RES,residential,13.01,cents per kilowatthour
2018-09,US,U.S. Total,OTH,other,,cents per kilowatthour
2018-09,US,U.S. Total,IND,industrial,7.05,cents per kilowatthour
2018-09,US,U.S. Total,COM,commercial,10.72,cents per kilowatthour
2018-08,US,U.S. Total,ALL,all sectors,11.01,cents per kilowatthour
2018-08,US,U.S. Total,TRA,transportation,9.5,cents per kilowatthour
2018-08,US,U.S. Total,RES,residential,13.26,cents per kilowatthour
2018-08,US,U.S. Total,OTH,other,,cents per kilowatthour
2018-08,US,U.S. Total,IND,industrial,7.25,cents per kilowatthour
2018-08,US,U.S. Total,COM,commercial,11.03,cents per kilowatthour
2018-07,US,U.S. Total,ALL,all sectors,10.99,cents per kilowatthour
2018-07,US,U.S. Total,TRA,transportation,10.05,cents per kilowatthour
2018-07,US,U.S. Total,RES,residential,13.13,cents per kilowatthour
2018-07,US,U.S. Total,OTH,other,,cents per kilowatthour
2018-07,US,U.S. Total,IND,industrial,7.32,cents per kilowatthour
2018-07,US,U.S. Total,COM,commercial,11,cents per kilowatthour
2018-06,US,U.S. Total,ALL,all sectors,10.75,cents per kilowatthour
2018-06,US,U.S. Total,TRA,transportation,10.23,cents per kilowatthour
2018-06,US,U.S. Total,RES,residential,13.03,cents per kilowatthour
2018-06,US,U.S. Total,OTH,other,,cents per kilowatthour
2018-06,US,U.S. Total,IND,industrial,7.17,cents per kilowatthour
2018-06,US,U.S. Total,COM,commercial,10.84,cents per kilowatthour
2018-05,US,U.S. Total,ALL,all sectors,10.35,cents per kilowatthour
2018-05,US,U.S. Total,TRA,transportation,9.39,cents per kilowatthour
2018-05,US,U.S. Total,RES,residential,13.12,cents per kilowatthour
2018-05,US,U.S. Total,OTH,other,,cents per kilowatthour
2018-05,US,U.S. Total,IND,industrial,6.79,cents per kilowatthour
2018-05,US,U.S. Total,COM,commercial,10.51,cents per kilowatthour
2018-04,US,U.S. Total,ALL,all sectors,10.18,cents per kilowatthour
2018-04,US,U.S. Total,TRA,transportation,9.47,cents per kilowatthour
2018-04,US,U.S. Total,RES,residential,12.88,cents per kilowatthour
2018-04,US,U.S. Total,OTH,other,,cents per kilowatthour
2018-04,US,U.S. Total,IND,industrial,6.57,cents per kilowatthour
2018-04,US,U.S. Total,COM,commercial,10.46,cents per kilowatthour
2018-03,US,U.S. Total,ALL,all sectors,10.34,cents per kilowatthour
2018-03,US,U.S. Total,TRA,transportation,9.4,cents per kilowatthour
2018-03,US,U.S. Total,RES,residential,12.97,cents per kilowatthour
2018-03,US,U.S. Total,OTH,other,,cents per kilowatthour
2018-03,US,U.S. Total,IND,industrial,6.63,cents per kilowatthour
2018-03,US,U.S. Total,COM,commercial,10.51,cents per kilowatthour
2018-02,US,U.S. Total,ALL,all sectors,10.42,cents per kilowatthour
2018-02,US,U.S. Total,TRA,transportation,9.78,cents per kilowatthour
2018-02,US,U.S. Total,RES,residential,12.63,cents per kilowatthour
2018-02,US,U.S. Total,OTH,other,,cents per kilowatthour
2018-02,US,U.S. Total,IND,industrial,6.78,cents per kilowatthour
2018-02,US,U.S. Total,COM,commercial,10.65,cents per kilowatthour
2018-01,US,U.S. Total,ALL,all sectors,10.41,cents per kilowatthour
2018-01,US,U.S. Total,TRA,transportation,9.39,cents per kilowatthour
2018-01,US,U.S. Total,RES,residential,12.22,cents per kilowatthour
2018-01,US,U.S. Total,OTH,other,,cents per kilowatthour
2018-01,US,U.S. Total,IND,industrial,6.94,cents per kilowatthour
2018-01,US,U.S. Total,COM,commercial,10.49,cents per kilowatthour
2017-12,US,U.S. Total,ALL,all sectors,10.17,cents per kilowatthour
2017-12,US,U.S. Total,TRA,transportation,9.35,cents per kilowatthour
2017-12,US,U.S. Total,RES,residential,12.45,cents per kilowatthour
2017-12,US,U.S. Total,OTH,other,,cents per kilowatthour
2017-12,US,U.S. Total,IND,industrial,6.54,cents per kilowatthour
2017-12,US,U.S. Total,COM,commercial,10.28,cents per kilowatthour
2017-11,US,U.S. Total,TRA,transportation,9.5,cents per kilowatthour
2017-11,US,U.S. Total,RES,residential,12.94,cents per kilowatthour
2017-11,US,U.S. Total,OTH,other,,cents per kilowatthour
2017-11,US,U.S. Total,IND,industrial,6.73,cents per kilowatthour
2017-11,US,U.S. Total,COM,commercial,10.49,cents per kilowatthour
2017-11,US,U.S. Total,ALL,all sectors,10.28,cents per kilowatthour
2017-10,US,U.S. Total,ALL,all sectors,10.4,cents per kilowatthour
2017-10,US,U.S. Total,TRA,transportation,9.57,cents per kilowatthour
2017-10,US,U.S. Total,RES,residential,12.8,cents per kilowatthour
2017-10,US,U.S. Total,OTH,other,,cents per kilowatthour
2017-10,US,U.S. Total,IND,industrial,6.91,cents per kilowatthour
2017-10,US,U.S. Total,COM,commercial,10.78,cents per kilowatthour
2017-09,US,U.S. Total,IND,industrial,7.17,cents per kilowatthour
2017-09,US,U.S. Total,COM,commercial,11.03,cents per kilowatthour
2017-09,US,U.S. Total,ALL,all sectors,10.86,cents per kilowatthour
2017-09,US,U.S. Total,TRA,transportation,9.99,cents per kilowatthour
2017-09,US,U.S. Total,RES,residential,13.28,cents per kilowatthour
2017-09,US,U.S. Total,OTH,other,,cents per kilowatthour
2017-08,US,U.S. Total,ALL,all sectors,10.91,cents per kilowatthour
2017-08,US,U.S. Total,TRA,transportation,10.06,cents per kilowatthour
2017-08,US,U.S. Total,RES,residential,13.15,cents per kilowatthour
2017-08,US,U.S. Total,OTH,other,,cents per kilowatthour
2017-08,US,U.S. Total,IND,industrial,7.22,cents per kilowatthour
2017-08,US,U.S. Total,COM,commercial,11.01,cents per kilowatthour
2017-07,US,U.S. Total,ALL,all sectors,10.95,cents per kilowatthour
2017-07,US,U.S. Total,TRA,transportation,10.12,cents per kilowatthour
2017-07,US,U.S. Total,RES,residential,13.08,cents per kilowatthour
2017-07,US,U.S. Total,OTH,other,,cents per kilowatthour
2017-07,US,U.S. Total,IND,industrial,7.31,cents per kilowatthour
2017-07,US,U.S. Total,COM,commercial,10.97,cents per kilowatthour
2017-06,US,U.S. Total,ALL,all sectors,10.83,cents per kilowatthour
2017-06,US,U.S. Total,TRA,transportation,10.18,cents per kilowatthour
2017-06,US,U.S. Total,RES,residential,13.2,cents per kilowatthour
2017-06,US,U.S. Total,OTH,other,,cents per kilowatthour
2017-06,US,U.S. Total,IND,industrial,7.19,cents per kilowatthour
2017-06,US,U.S. Total,COM,commercial,11.01,cents per kilowatthour
2017-05,US,U.S. Total,ALL,all sectors,10.34,cents per kilowatthour
2017-05,US,U.S. Total,TRA,transportation,9.61,cents per kilowatthour
2017-05,US,U.S. Total,RES,residential,13.07,cents per kilowatthour
2017-05,US,U.S. Total,OTH,other,,cents per kilowatthour
2017-05,US,U.S. Total,IND,industrial,6.78,cents per kilowatthour
2017-05,US,U.S. Total,COM,commercial,10.59,cents per kilowatthour
2017-04,US,U.S. Total,ALL,all sectors,10.07,cents per kilowatthour
2017-04,US,U.S. Total,TRA,transportation,9.46,cents per kilowatthour
2017-04,US,U.S. Total,RES,residential,12.72,cents per kilowatthour
2017-04,US,U.S. Total,OTH,other,,cents per kilowatthour
2017-04,US,U.S. Total,IND,industrial,6.6,cents per kilowatthour
2017-04,US,U.S. Total,COM,commercial,10.4,cents per kilowatthour
2017-03,US,U.S. Total,ALL,all sectors,10.28,cents per kilowatthour
2017-03,US,U.S. Total,TRA,transportation,9.49,cents per kilowatthour
2017-03,US,U.S. Total,RES,residential,12.89,cents per kilowatthour
2017-03,US,U.S. Total,OTH,other,,cents per kilowatthour
2017-03,US,U.S. Total,IND,industrial,6.71,cents per kilowatthour
2017-03,US,U.S. Total,COM,commercial,10.46,cents per kilowatthour
2017-02,US,U.S. Total,ALL,all sectors,10.28,cents per kilowatthour
2017-02,US,U.S. Total,TRA,transportation,9.5,cents per kilowatthour
2017-02,US,U.S. Total,RES,residential,12.79,cents per kilowatthour
2017-02,US,U.S. Total,OTH,other,,cents per kilowatthour
2017-02,US,U.S. Total,IND,industrial,6.63,cents per kilowatthour
2017-02,US,U.S. Total,COM,commercial,10.48,cents per kilowatthour
2017-01,US,U.S. Total,ALL,all sectors,10.13,cents per kilowatthour
2017-01,US,U.S. Total,TRA,transportation,9.39,cents per kilowatthour
2017-01,US,U.S. Total,RES,residential,12.21,cents per kilowatthour
2017-01,US,U.S. Total,OTH,other,,cents per kilowatthour
2017-01,US,U.S. Total,IND,industrial,6.59,cents per kilowatthour
2017-01,US,U.S. Total,COM,commercial,10.21,cents per kilowatthour
2016-12,US,U.S. Total,ALL,all sectors,10.09,cents per kilowatthour
2016-12,US,U.S. Total,TRA,transportation,9.49,cents per kilowatthour
2016-12,US,U.S. Total,RES,residential,12.23,cents per kilowatthour
2016-12,US,U.S. Total,OTH,other,,cents per kilowatthour
2016-12,US,U.S. Total,IND,industrial,6.67,cents per kilowatthour
2016-12,US,U.S. Total,COM,commercial,10.17,cents per kilowatthour
2016-11,US,U.S. Total,ALL,all sectors,10.1,cents per kilowatthour
2016-11,US,U.S. Total,TRA,transportation,9.22,cents per kilowatthour
2016-11,US,U.S. Total,RES,residential,12.75,cents per kilowatthour
2016-11,US,U.S. Total,OTH,other,,cents per kilowatthour
2016-11,US,U.S. Total,IND,industrial,6.66,cents per kilowatthour
2016-11,US,U.S. Total,COM,commercial,10.32,cents per kilowatthour
2016-10,US,U.S. Total,ALL,all sectors,10.15,cents per kilowatthour
2016-10,US,U.S. Total,TRA,transportation,9.62,cents per kilowatthour
2016-10,US,U.S. Total,RES,residential,12.46,cents per kilowatthour
2016-10,US,U.S. Total,OTH,other,,cents per kilowatthour
2016-10,US,U.S. Total,IND,industrial,6.73,cents per kilowatthour
2016-10,US,U.S. Total,COM,commercial,10.55,cents per kilowatthour
2016-09,US,U.S. Total,ALL,all sectors,10.68,cents per kilowatthour
2016-09,US,U.S. Total,TRA,transportation,10,cents per kilowatthour
2016-09,US,U.S. Total,RES,residential,12.87,cents per kilowatthour
2016-09,US,U.S. Total,OTH,other,,cents per kilowatthour
2016-09,US,U.S. Total,IND,industrial,7.14,cents per kilowatthour
2016-09,US,U.S. Total,COM,commercial,10.77,cents per kilowatthour
2016-08,US,U.S. Total,ALL,all sectors,10.81,cents per kilowatthour
2016-08,US,U.S. Total,TRA,transportation,10.04,cents per kilowatthour
2016-08,US,U.S. Total,RES,residential,12.88,cents per kilowatthour
2016-08,US,U.S. Total,OTH,other,,cents per kilowatthour
2016-08,US,U.S. Total,IND,industrial,7.23,cents per kilowatthour
2016-08,US,U.S. Total,COM,commercial,10.76,cents per kilowatthour
2016-07,US,U.S. Total,ALL,all sectors,10.7,cents per kilowatthour
2016-07,US,U.S. Total,TRA,transportation,9.84,cents per kilowatthour
2016-07,US,U.S. Total,RES,residential,12.68,cents per kilowatthour
2016-07,US,U.S. Total,OTH,other,,cents per kilowatthour
2016-07,US,U.S. Total,IND,industrial,7.23,cents per kilowatthour
2016-07,US,U.S. Total,COM,commercial,10.68,cents per kilowatthour
2016-06,US,U.S. Total,ALL,all sectors,10.52,cents per kilowatthour
2016-06,US,U.S. Total,TRA,transportation,9.75,cents per kilowatthour
2016-06,US,U.S. Total,RES,residential,12.73,cents per kilowatthour
2016-06,US,U.S. Total,OTH,other,,cents per kilowatthour
2016-06,US,U.S. Total,IND,industrial,7.03,cents per kilowatthour
2016-06,US,U.S. Total,COM,commercial,10.66,cents per kilowatthour
2016-05,US,U.S. Total,ALL,all sectors,10.06,cents per kilowatthour
2016-05,US,U.S. Total,TRA,transportation,9.28,cents per kilowatthour
2016-05,US,U.S. Total,RES,residential,12.79,cents per kilowatthour
2016-05,US,U.S. Total,OTH,other,,cents per kilowatthour
2016-05,US,U.S. Total,IND,industrial,6.57,cents per kilowatthour
2016-05,US,U.S. Total,COM,commercial,10.31,cents per kilowatthour
2016-04,US,U.S. Total,ALL,all sectors,9.83,cents per kilowatthour
2016-04,US,U.S. Total,TRA,transportation,9.53,cents per kilowatthour
2016-04,US,U.S. Total,RES,residential,12.43,cents per kilowatthour
2016-04,US,U.S. Total,OTH,other,,cents per kilowatthour
2016-04,US,U.S. Total,IND,industrial,6.44,cents per kilowatthour
2016-04,US,U.S. Total,COM,commercial,10.19,cents per kilowatthour
2016-03,US,U.S. Total,IND,industrial,6.46,cents per kilowatthour
2016-03,US,U.S. Total,COM,commercial,10.23,cents per kilowatthour
2016-03,US,U.S. Total,ALL,all sectors,10,cents per kilowatthour
2016-03,US,U.S. Total,TRA,transportation,9.56,cents per kilowatthour
2016-03,US,U.S. Total,RES,residential,12.56,cents per kilowatthour
2016-03,US,U.S. Total,OTH,other,,cents per kilowatthour
2016-02,US,U.S. Total,ALL,all sectors,10,cents per kilowatthour
2016-02,US,U.S. Total,TRA,transportation,9.61,cents per kilowatthour
2016-02,US,U.S. Total,RES,residential,12.14,cents per kilowatthour
2016-02,US,U.S. Total,OTH,other,,cents per kilowatthour
2016-02,US,U.S. Total,IND,industrial,6.42,cents per kilowatthour
2016-02,US,U.S. Total,COM,commercial,10.25,cents per kilowatthour
2016-01,US,U.S. Total,OTH,other,,cents per kilowatthour
2016-01,US,U.S. Total,IND,industrial,6.44,cents per kilowatthour
2016-01,US,U.S. Total,COM,commercial,10.08,cents per kilowatthour
2016-01,US,U.S. Total,ALL,all sectors,9.97,cents per kilowatthour
2016-01,US,U.S. Total,TRA,transportation,9.52,cents per kilowatthour
2016-01,US,U.S. Total,RES,residential,11.99,cents per kilowatthour
2015-12,US,U.S. Total,ALL,all sectors,9.98,cents per kilowatthour
2015-12,US,U.S. Total,TRA,transportation,9.81,cents per kilowatthour
2015-12,US,U.S. Total,RES,residential,12.32,cents per kilowatthour
2015-12,US,U.S. Total,OTH,other,,cents per kilowatthour
2015-12,US,U.S. Total,IND,industrial,6.45,cents per kilowatthour
2015-12,US,U.S. Total,COM,commercial,10.13,cents per kilowatthour
2015-11,US,U.S. Total,ALL,all sectors,10.05,cents per kilowatthour
2015-11,US,U.S. Total,TRA,transportation,9.63,cents per kilowatthour
2015-11,US,U.S. Total,RES,residential,12.71,cents per kilowatthour
2015-11,US,U.S. Total,OTH,other,,cents per kilowatthour
2015-11,US,U.S. Total,IND,industrial,6.61,cents per kilowatthour
2015-11,US,U.S. Total,COM,commercial,10.3,cents per kilowatthour
2015-10,US,U.S. Total,ALL,all sectors,10.31,cents per kilowatthour
2015-10,US,U.S. Total,TRA,transportation,9.91,cents per kilowatthour
2015-10,US,U.S. Total,RES,residential,12.72,cents per kilowatthour
2015-10,US,U.S. Total,OTH,other,,cents per kilowatthour
2015-10,US,U.S. Total,IND,industrial,6.88,cents per kilowatthour
2015-10,US,U.S. Total,COM,commercial,10.73,cents per kilowatthour
2015-09,US,U.S. Total,ALL,all sectors,10.79,cents per kilowatthour
2015-09,US,U.S. Total,TRA,transportation,10.29,cents per kilowatthour
2015-09,US,U.S. Total,RES,residential,13.03,cents per kilowatthour
2015-09,US,U.S. Total,OTH,other,,cents per kilowatthour
2015-09,US,U.S. Total,IND,industrial,7.21,cents per kilowatthour
2015-09,US,U.S. Total,COM,commercial,10.98,cents per kilowatthour
2015-08,US,U.S. Total,OTH,other,,cents per kilowatthour
2015-08,US,U.S. Total,IND,industrial,7.35,cents per kilowatthour
2015-08,US,U.S. Total,COM,commercial,10.94,cents per kilowatthour
2015-08,US,U.S. Total,ALL,all sectors,10.85,cents per kilowatthour
2015-08,US,U.S. Total,TRA,transportation,10.14,cents per kilowatthour
2015-08,US,U.S. Total,RES,residential,12.91,cents per kilowatthour
2015-07,US,U.S. Total,ALL,all sectors,10.95,cents per kilowatthour
2015-07,US,U.S. Total,TRA,transportation,10.34,cents per kilowatthour
2015-07,US,U.S. Total,RES,residential,12.94,cents per kilowatthour
2015-07,US,U.S. Total,OTH,other,,cents per kilowatthour
2015-07,US,U.S. Total,IND,industrial,7.45,cents per kilowatthour
2015-07,US,U.S. Total,COM,commercial,11.07,cents per kilowatthour
2015-06,US,U.S. Total,ALL,all sectors,10.64,cents per kilowatthour
2015-06,US,U.S. Total,TRA,transportation,10.15,cents per kilowatthour
2015-06,US,U.S. Total,RES,residential,12.92,cents per kilowatthour
2015-06,US,U.S. Total,OTH,other,,cents per kilowatthour
2015-06,US,U.S. Total,IND,industrial,7.11,cents per kilowatthour
2015-06,US,U.S. Total,COM,commercial,10.89,cents per kilowatthour
2015-05,US,U.S. Total,ALL,all sectors,10.21,cents per kilowatthour
2015-05,US,U.S. Total,TRA,transportation,9.87,cents per kilowatthour
2015-05,US,U.S. Total,RES,residential,12.93,cents per kilowatthour
2015-05,US,U.S. Total,OTH,other,,cents per kilowatthour
2015-05,US,U.S. Total,IND,industrial,6.74,cents per kilowatthour
2015-05,US,U.S. Total,COM,commercial,10.47,cents per kilowatthour
2015-04,US,U.S. Total,ALL,all sectors,10.01,cents per kilowatthour
2015-04,US,U.S. Total,TRA,transportation,9.76,cents per kilowatthour
2015-04,US,U.S. Total,RES,residential,12.62,cents per kilowatthour
2015-04,US,U.S. Total,OTH,other,,cents per kilowatthour
2015-04,US,U.S. Total,IND,industrial,6.61,cents per kilowatthour
2015-04,US,U.S. Total,COM,commercial,10.37,cents per kilowatthour
2015-03,US,U.S. Total,ALL,all sectors,10.29,cents per kilowatthour
2015-03,US,U.S. Total,TRA,transportation,10.12,cents per kilowatthour
2015-03,US,U.S. Total,RES,residential,12.33,cents per kilowatthour
2015-03,US,U.S. Total,OTH,other,,cents per kilowatthour
2015-03,US,U.S. Total,IND,industrial,6.83,cents per kilowatthour
2015-03,US,U.S. Total,COM,commercial,10.63,cents per kilowatthour
2015-02,US,U.S. Total,ALL,all sectors,10.36,cents per kilowatthour
2015-02,US,U.S. Total,TRA,transportation,10.49,cents per kilowatthour
2015-02,US,U.S. Total,RES,residential,12.29,cents per kilowatthour
2015-02,US,U.S. Total,OTH,other,,cents per kilowatthour
2015-02,US,U.S. Total,IND,industrial,6.88,cents per kilowatthour
2015-02,US,U.S. Total,COM,commercial,10.62,cents per kilowatthour
2015-01,US,U.S. Total,ALL,all sectors,10.18,cents per kilowatthour
2015-01,US,U.S. Total,TRA,transportation,10.45,cents per kilowatthour
2015-01,US,U.S. Total,RES,residential,12.1,cents per kilowatthour
2015-01,US,U.S. Total,OTH,other,,cents per kilowatthour
2015-01,US,U.S. Total,IND,industrial,6.67,cents per kilowatthour
2015-01,US,U.S. Total,COM,commercial,10.31,cents per kilowatthour
2014-12,US,U.S. Total,ALL,all sectors,10.12,cents per kilowatthour
2014-12,US,U.S. Total,TRA,transportation,10.48,cents per kilowatthour
2014-12,US,U.S. Total,RES,residential,12.17,cents per kilowatthour
2014-12,US,U.S. Total,OTH,other,,cents per kilowatthour
2014-12,US,U.S. Total,IND,industrial,6.7,cents per kilowatthour
2014-12,US,U.S. Total,COM,commercial,10.36,cents per kilowatthour
2014-11,US,U.S. Total,IND,industrial,6.75,cents per kilowatthour
2014-11,US,U.S. Total,COM,commercial,10.52,cents per kilowatthour
2014-11,US,U.S. Total,ALL,all sectors,10.13,cents per kilowatthour
2014-11,US,U.S. Total,TRA,transportation,10.2,cents per kilowatthour
2014-11,US,U.S. Total,RES,residential,12.48,cents per kilowatthour
2014-11,US,U.S. Total,OTH,other,,cents per kilowatthour
2014-10,US,U.S. Total,ALL,all sectors,10.34,cents per kilowatthour
2014-10,US,U.S. Total,TRA,transportation,10.27,cents per kilowatthour
2014-10,US,U.S. Total,RES,residential,12.6,cents per kilowatthour
2014-10,US,U.S. Total,OTH,other,,cents per kilowatthour
2014-10,US,U.S. Total,IND,industrial,7.07,cents per kilowatthour
2014-10,US,U.S. Total,COM,commercial,10.83,cents per kilowatthour
2014-09,US,U.S. Total,ALL,all sectors,10.83,cents per kilowatthour
2014-09,US,U.S. Total,TRA,transportation,11.02,cents per kilowatthour
2014-09,US,U.S. Total,RES,residential,12.95,cents per kilowatthour
2014-09,US,U.S. Total,OTH,other,,cents per kilowatthour
2014-09,US,U.S. Total,IND,industrial,7.37,cents per kilowatthour
2014-09,US,U.S. Total,COM,commercial,11.16,cents per kilowatthour
2014-08,US,U.S. Total,ALL,all sectors,10.91,cents per kilowatthour
2014-08,US,U.S. Total,TRA,transportation,10.02,cents per kilowatthour
2014-08,US,U.S. Total,RES,residential,13.04,cents per kilowatthour
2014-08,US,U.S. Total,OTH,other,,cents per kilowatthour
2014-08,US,U.S. Total,IND,industrial,7.51,cents per kilowatthour
2014-08,US,U.S. Total,COM,commercial,11.05,cents per kilowatthour
2014-07,US,U.S. Total,ALL,all sectors,11.03,cents per kilowatthour
2014-07,US,U.S. Total,TRA,transportation,10.68,cents per kilowatthour
2014-07,US,U.S. Total,RES,residential,13.09,cents per kilowatthour
2014-07,US,U.S. Total,OTH,other,,cents per kilowatthour
2014-07,US,U.S. Total,IND,industrial,7.62,cents per kilowatthour
2014-07,US,U.S. Total,COM,commercial,11.17,cents per kilowatthour
2014-06,US,U.S. Total,ALL,all sectors,10.75,cents per kilowatthour
2014-06,US,U.S. Total,TRA,transportation,10.6,cents per kilowatthour
2014-06,US,U.S. Total,RES,residential,12.99,cents per kilowatthour
2014-06,US,U.S. Total,OTH,other,,cents per kilowatthour
2014-06,US,U.S. Total,IND,industrial,7.39,cents per kilowatthour
2014-06,US,U.S. Total,COM,commercial,10.96,cents per kilowatthour
2014-05,US,U.S. Total,ALL,all sectors,10.21,cents per kilowatthour
2014-05,US,U.S. Total,TRA,transportation,10.06,cents per kilowatthour
2014-05,US,U.S. Total,RES,residential,12.85,cents per kilowatthour
2014-05,US,U.S. Total,OTH,other,,cents per kilowatthour
2014-05,US,U.S. Total,IND,industrial,6.83,cents per kilowatthour
2014-05,US,U.S. Total,COM,commercial,10.54,cents per kilowatthour
2014-04,US,U.S. Total,ALL,all sectors,10,cents per kilowatthour
2014-04,US,U.S. Total,TRA,transportation,10.23,cents per kilowatthour
2014-04,US,U.S. Total,RES,residential,12.31,cents per kilowatthour
2014-04,US,U.S. Total,OTH,other,,cents per kilowatthour
2014-04,US,U.S. Total,IND,industrial,6.77,cents per kilowatthour
2014-04,US,U.S. Total,COM,commercial,10.46,cents per kilowatthour
2014-03,US,U.S. Total,ALL,all sectors,10.28,cents per kilowatthour
2014-03,US,U.S. Total,TRA,transportation,10.43,cents per kilowatthour
2014-03,US,U.S. Total,RES,residential,12.25,cents per kilowatthour
2014-03,US,U.S. Total,OTH,other,,cents per kilowatthour
2014-03,US,U.S. Total,IND,industrial,6.99,cents per kilowatthour
2014-03,US,U.S. Total,COM,commercial,10.65,cents per kilowatthour
2014-02,US,U.S. Total,ALL,all sectors,10.33,cents per kilowatthour
2014-02,US,U.S. Total,TRA,transportation,10.41,cents per kilowatthour
2014-02,US,U.S. Total,RES,residential,11.94,cents per kilowatthour
2014-02,US,U.S. Total,OTH,other,,cents per kilowatthour
2014-02,US,U.S. Total,IND,industrial,7.12,cents per kilowatthour
2014-02,US,U.S. Total,COM,commercial,10.68,cents per kilowatthour
2014-01,US,U.S. Total,ALL,all sectors,10.12,cents per kilowatthour
2014-01,US,U.S. Total,TRA,transportation,10.93,cents per kilowatthour
2014-01,US,U.S. Total,RES,residential,11.65,cents per kilowatthour
2014-01,US,U.S. Total,OTH,other,,cents per kilowatthour
2014-01,US,U.S. Total,IND,industrial,6.98,cents per kilowatthour
2014-01,US,U.S. Total,COM,commercial,10.35,cents per kilowatthour
2013-12,US,U.S. Total,OTH,other,,cents per kilowatthour
2013-12,US,U.S. Total,IND,industrial,6.66,cents per kilowatthour
2013-12,US,U.S. Total,COM,commercial,9.96,cents per kilowatthour
2013-12,US,U.S. Total,ALL,all sectors,9.86,cents per kilowatthour
2013-12,US,U.S. Total,TRA,transportation,10.2,cents per kilowatthour
2013-12,US,U.S. Total,RES,residential,11.72,cents per kilowatthour
2013-11,US,U.S. Total,ALL,all sectors,9.79,cents per kilowatthour
2013-11,US,U.S. Total,TRA,transportation,10.49,cents per kilowatthour
2013-11,US,U.S. Total,RES,residential,12.1,cents per kilowatthour
2013-11,US,U.S. Total,OTH,other,,cents per kilowatthour
2013-11,US,U.S. Total,IND,industrial,6.65,cents per kilowatthour
2013-11,US,U.S. Total,COM,commercial,10.03,cents per kilowatthour
2013-10,US,U.S. Total,ALL,all sectors,10.02,cents per kilowatthour
2013-10,US,U.S. Total,TRA,transportation,10.46,cents per kilowatthour
2013-10,US,U.S. Total,RES,residential,12.36,cents per kilowatthour
2013-10,US,U.S. Total,OTH,other,,cents per kilowatthour
2013-10,US,U.S. Total,IND,industrial,6.87,cents per kilowatthour
2013-10,US,U.S. Total,COM,commercial,10.28,cents per kilowatthour
2013-09,US,U.S. Total,ALL,all sectors,10.43,cents per kilowatthour
2013-09,US,U.S. Total,TRA,transportation,10.88,cents per kilowatthour
2013-09,US,U.S. Total,RES,residential,12.51,cents per kilowatthour
2013-09,US,U.S. Total,OTH,other,,cents per kilowatthour
2013-09,US,U.S. Total,IND,industrial,7.22,cents per kilowatthour
2013-09,US,U.S. Total,COM,commercial,10.53,cents per kilowatthour
2013-08,US,U.S. Total,ALL,all sectors,10.58,cents per kilowatthour
2013-08,US,U.S. Total,TRA,transportation,10.77,cents per kilowatthour
2013-08,US,U.S. Total,RES,residential,12.53,cents per kilowatthour
2013-08,US,U.S. Total,OTH,other,,cents per kilowatthour
2013-08,US,U.S. Total,IND,industrial,7.37,cents per kilowatthour
2013-08,US,U.S. Total,COM,commercial,10.69,cents per kilowatthour
2013-07,US,U.S. Total,ALL,all sectors,10.69,cents per kilowatthour
2013-07,US,U.S. Total,TRA,transportation,10.97,cents per kilowatthour
2013-07,US,U.S. Total,RES,residential,12.65,cents per kilowatthour
2013-07,US,U.S. Total,OTH,other,,cents per kilowatthour
2013-07,US,U.S. Total,IND,industrial,7.45,cents per kilowatthour
2013-07,US,U.S. Total,COM,commercial,10.7,cents per kilowatthour
2013-06,US,U.S. Total,ALL,all sectors,10.45,cents per kilowatthour
2013-06,US,U.S. Total,TRA,transportation,10.76,cents per kilowatthour
2013-06,US,U.S. Total,RES,residential,12.54,cents per kilowatthour
2013-06,US,U.S. Total,OTH,other,,cents per kilowatthour
2013-06,US,U.S. Total,IND,industrial,7.25,cents per kilowatthour
2013-06,US,U.S. Total,COM,commercial,10.65,cents per kilowatthour
2013-05,US,U.S. Total,ALL,all sectors,9.92,cents per kilowatthour
2013-05,US,U.S. Total,TRA,transportation,10.5,cents per kilowatthour
2013-05,US,U.S. Total,RES,residential,12.4,cents per kilowatthour
2013-05,US,U.S. Total,OTH,other,,cents per kilowatthour
2013-05,US,U.S. Total,IND,industrial,6.75,cents per kilowatthour
2013-05,US,U.S. Total,COM,commercial,10.22,cents per kilowatthour
