period,stateid,stateDescription,sectorid,sectorName,price,price-units
2023-03,US,U.S. Total,TRA,transportation,12.18,cents per kilowatthour
2023-03,US,U.S. Total,RES,residential,15.91,cents per kilowatthour
2023-03,US,U.S. Total,OTH,other,,cents per kilowatthour
2023-03,US,U.S. Total,IND,industrial,7.79,cents per kilowatthour
2023-03,US,U.S. Total,COM,commercial,12.48,cents per kilowatthour
2023-02,US,U.S. Total,ALL,all sectors,12.76,cents per kilowatthour
2023-02,US,U.S. Total,TRA,transportation,12.99,cents per kilowatthour
2023-02,US,U.S. Total,RES,residential,15.98,cents per kilowatthour
2023-02,US,U.S. Total,OTH,other,,cents per kilowatthour
2023-02,US,U.S. Total,IND,industrial,8.1,cents per kilowatthour
2023-02,US,U.S. Total,COM,commercial,12.7,cents per kilowatthour
2023-01,US,U.S. Total,ALL,all sectors,12.78,cents per kilowatthour
2023-01,US,U.S. Total,TRA,transportation,12.36,cents per kilowatthour
2023-01,US,U.S. Total,RES,residential,15.47,cents per kilowatthour
2023-01,US,U.S. Total,OTH,other,,cents per kilowatthour
2023-01,US,U.S. Total,IND,industrial,8.32,cents per kilowatthour
2023-01,US,U.S. Total,COM,commercial,12.75,cents per kilowatthour
2022-12,US,U.S. Total,ALL,all sectors,12.4,cents per kilowatthour
2022-12,US,U.S. Total,TRA,transportation,11.48,cents per kilowatthour
2022-12,US,U.S. Total,RES,residential,14.94,cents per kilowatthour
2022-12,US,U.S. Total,OTH,other,,cents per kilowatthour
2022-12,US,U.S. Total,IND,industrial,8.5,cents per kilowatthour
2022-12,US,U.S. Total,COM,commercial,12.28,cents per kilowatthour
2022-11,US,U.S. Total,ALL,all sectors,12.3,cents per kilowatthour
2022-11,US,U.S. Total,TRA,transportation,11.56,cents per kilowatthour
2022-11,US,U.S. Total,RES,residential,15.55,cents per kilowatthour
2022-11,US,U.S. Total,OTH,other,,cents per kilowatthour
2022-11,US,U.S. Total,IND,industrial,8.14,cents per kilowatthour
2022-11,US,U.S. Total,COM,commercial,12.33,cents per kilowatthour
